X,Y,OBJECTID,METER_ID,VENDOR,PAY_POLICY,PRE_PAY,PARK_NO_PAY,GREEN_DOME,TOW_AWAY,STREET_CLEANING,DIR,BLK_NO,STREET,LOCK_,LOCK__,LONGITUDE,LATITUDE,TRAVEL_DIRECTION,FROM_INTERSECTION,TO_INTERSECTION,SPACE_NUMBER,NUMBEROFSPACES,METER_TYPE,HAS_SENSOR,G_DISTRICT,G_PASSPORT_ZONES,G_PM_ZONE,G_SUBZONE,G_ZONE,BASE_RATE,POLE_MOUNT,YOKE,HOUSING_TYPE,HOUSING_MANUFACTURER,SIDEWALKGE,COIN_SLOTLE,METER_CONDITION,PERMIT_RATE,INSTALLED_ON,PURCHASED_DATE,METER_STATE,SPACE_STATE
772939.622098863,2957065.03208672,602,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,PARK,N ANDERSON ST,1,,-71.067933,42.361526,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772940.528881386,2957046.08636345,603,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,PARK,N ANDERSON ST,1,,-71.06793,42.361474,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772942.024189621,2957017.66846356,604,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,PARK,N ANDERSON ST,1,,-71.067925,42.361396,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772942.936513647,2956997.62948149,605,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,PARK,N ANDERSON ST,1,,-71.067922,42.361341,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772887.94651255,2956968.92551239,606,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,N AN,CAMBRIDGE ST,1,,-71.068126,42.361263,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,75,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772868.228260979,2956966.63910694,607,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,N AN,CAMBRIDGE ST,1,,-71.068199,42.361257,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772823.638274714,2956965.6845583,608,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,N AN,CAMBRIDGE ST,1,,-71.068364,42.361255,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772803.640530407,2956965.21893945,609,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,N AN,CAMBRIDGE ST,1,,-71.068438,42.361254,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772701.756260425,2956963.61038122,610,,IPS,"08:00AM-08:00PM SAT $0.25 120, 09:30AM-03:30PM MON-FRI $0.25 120",,"00:00AM-24:00AM SUN, 00:00AM-09:30AM MON-FRI, 00:00AM-08:00AM SAT, 03:30PM-24:00AM MON-FRI, 08:00PM-24:00AM SAT",,,,N,N GR,CAMBRIDGE ST,1,,-71.068815,42.361251,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,77,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772683.380100727,2956963.15306419,611,,IPS,"08:00AM-08:00PM SAT $0.25 120, 09:30AM-03:30PM MON-FRI $0.25 120",,"00:00AM-24:00AM SUN, 00:00AM-09:30AM MON-FRI, 00:00AM-08:00AM SAT, 03:30PM-24:00AM MON-FRI, 08:00PM-24:00AM SAT",,,,N,N GR,CAMBRIDGE ST,1,,-71.068883,42.36125,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772622.309475288,2956961.02232377,612,,IPS,"08:00AM-08:00PM SAT $0.25 120, 09:30AM-03:30PM MON-FRI $0.25 120",,"00:00AM-24:00AM SUN, 00:00AM-09:30AM MON-FRI, 00:00AM-08:00AM SAT, 03:30PM-24:00AM MON-FRI, 08:00PM-24:00AM SAT",,,,N,N GR,CAMBRIDGE ST,1,,-71.069109,42.361245,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772605.280954793,2956961.30073525,613,,IPS,"08:00AM-08:00PM SAT $0.25 120, 09:30AM-03:30PM MON-FRI $0.25 120",,"00:00AM-24:00AM SUN, 00:00AM-09:30AM MON-FRI, 00:00AM-08:00AM SAT, 03:30PM-24:00AM MON-FRI, 08:00PM-24:00AM SAT",,,,N,N GR,CAMBRIDGE ST,1,,-71.069172,42.361246,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
772551.399298295,2956873.56565595,614,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,GROVE,CAMBRIDGE ST,1,,-71.069373,42.361006,,,,,1,SINGLE-SPACE,NO,DISTRICT 0,79,,0AE,AE,0.25,,,,,,,,,4/1/2017 1:00:00 AM,,ACTIVE,ACTIVE
